Gyarto;Tipus;Teljesitmeny;Vegsebesseg;Gumimeret;Hatótav;Rendszam;Gyartasi_ev;Km_ora_allas
Skoda;Citigo-e-iV;36;130;165|65-R16;300;RVN-319;2023;25058
Skoda;Citigo-e-iV;36;130;165|65-R16;300;SZX-560;2021;38129
KIA;Niro-EV;65;167;165|65-R17;350;NWN-448;2021;30622
KIA;Niro-EV;65;167;165|65-R17;350;NED-191;2019;56985
VW;e-up!;18;130;165|65-R15;130;RKH-662;2020;56776
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AAAI-783;2021;36419
Skoda;Citigo-e-iV;36;130;165|65-R16;300;PTJ-766;2022;30074
KIA;Niro-EV;65;167;165|65-R17;350;SLX-728;2020;59171
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACF-099;2020;51899
KIA;Niro-EV;65;167;165|65-R17;350;AAAG-679;2020;55022
VW;e-up!;18;130;165|65-R15;130;AABO-661;2023;23662
VW;e-up!;36;130;165|65-R15;300;NGJ-420;2021;32173
VW;e-up!;18;130;165|65-R15;130;AACC-566;2020;43389
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACL-255;2023;22101
Opel;Vivaro-e;50;192;165|65-R16;320;RVG-323;2022;33532
VW;e-up!;18;130;165|65-R15;130;NEB-029;2022;30774
VW;e-up!;36;130;165|65-R15;300;AACJ-519;2019;54601
KIA;Niro-EV;65;167;165|65-R17;350;MYE-783;2021;33683
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PDF-313;2022;32765
KIA;Niro-EV;65;167;165|65-R17;350;AAAA-812;2021;33763
KIA;Niro-EV;65;167;165|65-R17;350;PQW-058;2023;26099
KIA;Niro-EV;65;167;165|65-R17;350;SSN-801;2019;59814
Opel;Vivaro-e;50;192;165|65-R16;320;AAAA-109;2021;35775
VW;e-up!;18;130;165|65-R15;130;AABI-785;2022;29305
KIA;Niro-EV;65;167;165|65-R17;350;TPC-754;2019;56391
Opel;Vivaro-e;50;192;165|65-R16;320;AABF-813;2023;29688
Skoda;Citigo-e-iV;36;130;165|65-R16;300;NGG-214;2021;38334
Skoda;Citigo-e-iV;36;130;165|65-R16;300;PAR-692;2021;37259
KIA;Niro-EV;65;167;165|65-R17;350;AACE-332;2019;52441
Skoda;Citigo-e-iV;36;130;165|65-R16;300;PUS-558;2019;51342
Skoda;Citigo-e-iV;36;130;165|65-R16;300;TDV-496;2023;25255
VW;e-up!;18;130;165|65-R15;130;SNP-880;2020;45113
KIA;Niro-EV;65;167;165|65-R17;350;AACK-380;2021;34947
Skoda;Citigo-e-iV;36;130;165|65-R16;300;MYD-110;2020;51964
VW;e-up!;18;130;165|65-R15;130;MNJ-276;2022;33587
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PLU-021;2022;32298
Opel;Vivaro-e;50;192;165|65-R16;320;MXZ-131;2019;51788
KIA;Niro-EV;65;167;165|65-R17;350;RDM-729;2021;35691
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RJH-887;2019;51477
KIA;Niro-EV;65;167;165|65-R17;350;RWW-208;2023;23593
VW;e-up!;18;130;165|65-R15;130;NFM-443;2021;35404
Skoda;Citigo-e-iV;36;130;165|65-R16;300;TYZ-748;2021;37395
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABF-727;2020;55961
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAJ-129;2022;29320
Skoda;Citigo-e-iV;36;130;165|65-R16;300;TIR-488;2021;33945
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABG-796;2021;32115
KIA;Niro-EV;65;167;165|65-R17;350;MOK-432;2022;25060
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MUT-778;2020;57425
VW;e-up!;36;130;165|65-R15;300;AAAE-969;2020;52651
VW;e-up!;36;130;165|65-R15;300;NGT-438;2019;54229
VW;e-up!;18;130;165|65-R15;130;AACI-098;2020;55318
VW;e-up!;36;130;165|65-R15;300;AABE-607;2023;26797
KIA;Niro-EV;65;167;165|65-R17;350;AACC-734;2022;31888
VW;e-up!;18;130;165|65-R15;130;AABM-907;2021;39654
VW;e-up!;18;130;165|65-R15;130;RSK-565;2020;56659
Opel;Vivaro-e;50;192;165|65-R16;320;AABE-710;2023;25964
Opel;Vivaro-e;50;192;165|65-R16;320;AACJ-674;2020;51733
KIA;Niro-EV;65;167;165|65-R17;350;AACJ-594;2023;21985
Opel;Vivaro-e;50;192;165|65-R16;320;MCE-116;2019;59154
VW;e-up!;18;130;165|65-R15;130;MAE-686;2019;56610
VW;e-up!;18;130;165|65-R15;130;MIX-833;2023;29373
Opel;Vivaro-e;50;192;165|65-R16;320;MHG-497;2020;57369
VW;e-up!;18;130;165|65-R15;130;AAAO-108;2019;55910
KIA;Niro-EV;65;167;165|65-R17;350;AACF-694;2023;22338
Opel;Vivaro-e;50;192;165|65-R16;320;AAAI-130;2023;27647
KIA;Niro-EV;65;167;165|65-R17;350;SNW-613;2023;20023
VW;e-up!;18;130;165|65-R15;130;AABO-035;2021;39215
Opel;Vivaro-e;50;192;165|65-R16;320;MUR-780;2023;29947
VW;e-up!;18;130;165|65-R15;130;MFN-089;2021;31044
VW;e-up!;18;130;165|65-R15;130;TNE-009;2023;26096
VW;e-up!;18;130;165|65-R15;130;AABH-470;2022;25924
VW;e-up!;18;130;165|65-R15;130;PLU-850;2020;42594
KIA;Niro-EV;65;167;165|65-R17;350;SRD-277;2022;25866
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAK-615;2021;34360
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAN-583;2023;23487
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABB-814;2020;43633
VW;e-up!;36;130;165|65-R15;300;TJZ-203;2022;33420
VW;e-up!;18;130;165|65-R15;130;AABO-078;2021;31923
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACG-740;2019;56120
VW;e-up!;18;130;165|65-R15;130;AACM-510;2022;33225
VW;e-up!;18;130;165|65-R15;130;AAAF-457;2021;33546
Opel;Vivaro-e;50;192;165|65-R16;320;TQF-324;2021;36724
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABM-190;2023;23252
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;POV-223;2022;25944
Skoda;Citigo-e-iV;36;130;165|65-R16;300;NWX-997;2020;48453
VW;e-up!;18;130;165|65-R15;130;RXO-632;2020;47044
VW;e-up!;36;130;165|65-R15;300;AABM-278;2021;37067
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;TNE-131;2019;57199
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACB-266;2019;54035
Skoda;Citigo-e-iV;36;130;165|65-R16;300;RON-272;2021;36051
Opel;Vivaro-e;50;192;165|65-R16;320;AAAD-798;2023;27682
Opel;Vivaro-e;50;192;165|65-R16;320;PYS-719;2020;52956
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACI-181;2021;35425
VW;e-up!;36;130;165|65-R15;300;AAAA-608;2022;26766
VW;e-up!;18;130;165|65-R15;130;AABN-977;2021;33852
VW;e-up!;36;130;165|65-R15;300;SZM-478;2020;59781
Opel;Vivaro-e;50;192;165|65-R16;320;AACI-096;2021;32839
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABB-253;2023;23534
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACM-291;2020;47896
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAM-840;2020;58704
KIA;Niro-EV;65;167;165|65-R17;350;AAAD-286;2021;31843
Opel;Vivaro-e;50;192;165|65-R16;320;AACO-733;2020;52126
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RFI-895;2022;27967
VW;e-up!;18;130;165|65-R15;130;RFD-812;2020;47222
KIA;Niro-EV;65;167;165|65-R17;350;RQG-780;2023;27583
Opel;Vivaro-e;50;192;165|65-R16;320;AACA-063;2021;34620
KIA;Niro-EV;65;167;165|65-R17;350;MEC-860;2023;23786
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACC-704;2019;59064
Opel;Vivaro-e;50;192;165|65-R16;320;PON-520;2021;36705
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RMC-536;2022;30625
KIA;Niro-EV;65;167;165|65-R17;350;MRE-641;2019;55557
VW;e-up!;36;130;165|65-R15;300;AACE-044;2019;51612
VW;e-up!;36;130;165|65-R15;300;MHX-615;2023;26989
Opel;Vivaro-e;50;192;165|65-R16;320;AABL-224;2020;47948
VW;e-up!;18;130;165|65-R15;130;AAAE-014;2022;34677
KIA;Niro-EV;65;167;165|65-R17;350;NYB-675;2022;26293
Opel;Vivaro-e;50;192;165|65-R16;320;MGN-471;2019;55067
VW;e-up!;18;130;165|65-R15;130;RGN-983;2021;31595
VW;e-up!;36;130;165|65-R15;300;PNU-700;2022;31732
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;MNZ-745;2023;21301
VW;e-up!;18;130;165|65-R15;130;NIK-756;2022;28742
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AABE-069;2021;38314
Opel;Vivaro-e;50;192;165|65-R16;320;RNE-523;2020;49749
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACM-439;2023;21953
KIA;Niro-EV;65;167;165|65-R17;350;AAAK-937;2021;36875
VW;e-up!;18;130;165|65-R15;130;NPK-212;2023;28971
KIA;Niro-EV;65;167;165|65-R17;350;AABM-378;2022;34660
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABG-373;2019;52738
Opel;Vivaro-e;50;192;165|65-R16;320;AABF-277;2020;48548
VW;e-up!;18;130;165|65-R15;130;PCS-617;2020;46574
VW;e-up!;18;130;165|65-R15;130;MJP-334;2020;46607
VW;e-up!;36;130;165|65-R15;300;AABG-110;2019;51807
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AABO-613;2020;58574
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;NFI-581;2023;22557
KIA;Niro-EV;65;167;165|65-R17;350;MTQ-016;2023;28218
VW;e-up!;36;130;165|65-R15;300;RAI-790;2023;24358
Skoda;Citigo-e-iV;36;130;165|65-R16;300;NVM-996;2022;33650
VW;e-up!;18;130;165|65-R15;130;PWT-121;2023;24351
Skoda;Citigo-e-iV;36;130;165|65-R16;300;MYW-848;2023;27482
Opel;Vivaro-e;50;192;165|65-R16;320;AACN-049;2019;58194
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AAAN-985;2020;52704
Opel;Vivaro-e;50;192;165|65-R16;320;POJ-542;2021;32748
Opel;Vivaro-e;50;192;165|65-R16;320;AACE-062;2021;30696
Opel;Vivaro-e;50;192;165|65-R16;320;RKQ-726;2022;30176
VW;e-up!;36;130;165|65-R15;300;NHI-165;2019;52798
KIA;Niro-EV;65;167;165|65-R17;350;TYJ-585;2022;31211
Skoda;Citigo-e-iV;36;130;165|65-R16;300;AACE-116;2022;28810
KIA;Niro-EV;65;167;165|65-R17;350;AAAD-686;2023;25020
KIA;Niro-EV;65;167;165|65-R17;350;AAAI-382;2021;39439
KIA;Niro-EV;65;167;165|65-R17;350;AABG-576;2023;26663
VW;e-up!;18;130;165|65-R15;130;AAAD-337;2019;57112
KIA;Niro-EV;65;167;165|65-R17;350;AAAH-342;2023;21696
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RGO-476;2022;25202
VW;e-up!;36;130;165|65-R15;300;AABN-437;2019;57059
VW;e-up!;36;130;165|65-R15;300;TXA-187;2021;30365
Opel;Vivaro-e;50;192;165|65-R16;320;PJW-678;2021;33812
VW;e-up!;36;130;165|65-R15;300;STR-178;2020;46084
VW;e-up!;36;130;165|65-R15;300;AAAG-798;2022;32933
VW;e-up!;36;130;165|65-R15;300;AAAM-609;2023;28280
VW;e-up!;18;130;165|65-R15;130;RXJ-369;2019;52121
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;RQM-779;2023;22460
VW;e-up!;36;130;165|65-R15;300;TMS-572;2021;37805
KIA;Niro-EV;65;167;165|65-R17;350;AAAJ-158;2023;24253
KIA;Niro-EV;65;167;165|65-R17;350;TUS-121;2021;35907
VW;e-up!;36;130;165|65-R15;300;MYF-757;2021;33536
Opel;Vivaro-e;50;192;165|65-R16;320;AAAM-911;2020;41462
VW;e-up!;18;130;165|65-R15;130;AAAH-719;2019;58474
VW;e-up!;36;130;165|65-R15;300;AAAO-179;2022;30698
KIA;Niro-EV;65;167;165|65-R17;350;AAAF-116;2020;45558
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;PIQ-008;2020;40750
VW;e-up!;36;130;165|65-R15;300;AABN-737;2019;55693
KIA;Niro-EV;65;167;165|65-R17;350;AABC-950;2019;50211
VW;e-up!;36;130;165|65-R15;300;PPV-934;2021;33896
Renault;Kangoo-Z.E.;45;130;165|65-R15;285;AACI-649;2020;48245
